Product_Name,Price_Bought,Quantity_Bought,Price_Sold,Quantity_Sold,Start_Date,End_Date
Surf Excel Chocolate 250g,136.34,335,171.81,300,15-05-2025,21-05-2025
Coca-Cola Oil 500g,115.15,389,138.55,384,15-05-2025,21-05-2025
Tata Biscuit 100g,117.49,159,150.65,116,15-05-2025,21-05-2025
Nescafé Shampoo 6x250ml,269.72,173,344.79,103,15-05-2025,21-05-2025
Amul Sanitizer 100g,66.89,337,80.79,212,15-05-2025,21-05-2025
Cadbury Lentils 750g,143.73,148,169.28,133,15-05-2025,21-05-2025
Amul Ketchup 750g,30.22,124,33.41,103,15-05-2025,21-05-2025
Nescafé Noodles 250g,218.12,152,283.26,134,15-05-2025,21-05-2025
Maggi Chocolate 750g,283.71,332,364.26,276,15-05-2025,21-05-2025
Cadbury Ketchup 2kg,287.16,160,347.45,153,15-05-2025,21-05-2025
Colgate Noodles 750g,122.35,253,142.0,187,15-05-2025,21-05-2025
Coca-Cola Biscuit 1kg,192.45,307,226.69,264,15-05-2025,21-05-2025
Nestlé Biscuit 5kg,235.65,124,276.9,118,15-05-2025,21-05-2025
Haldiram Corn Flakes 1kg,228.41,391,277.52,291,15-05-2025,21-05-2025
Amul Energy Drink 250g,208.95,185,252.33,144,15-05-2025,21-05-2025
Tata Coffee 250g,222.09,321,252.59,216,15-05-2025,21-05-2025
Britannia Shampoo 750g,31.84,150,35.13,122,15-05-2025,21-05-2025
Coca-Cola Coffee 500g,263.23,188,320.6,119,15-05-2025,21-05-2025
Horlicks Salt 750g,143.82,377,189.09,329,15-05-2025,21-05-2025
Maggi Energy Drink 1L,21.74,301,27.95,236,15-05-2025,21-05-2025
Maggi Biscuit 1kg,168.13,243,201.44,226,15-05-2025,21-05-2025
Dettol Oil 250g,180.78,122,213.91,81,15-05-2025,21-05-2025
Nescafé Biscuit 500g,201.17,298,230.55,235,15-05-2025,21-05-2025
Lay's Detergent 100g,130.16,350,166.25,215,15-05-2025,21-05-2025
Nescafé Noodles 500g,115.37,255,143.05,198,15-05-2025,21-05-2025
Aashirvaad Atta 6x250ml,298.49,272,330.72,252,15-05-2025,21-05-2025
Nestlé Noodles 500g,256.82,122,303.33,107,15-05-2025,21-05-2025
Godrej Salt 6x250ml,263.79,217,312.52,195,15-05-2025,21-05-2025
Kellogg's Salt 500g,70.34,261,81.18,180,15-05-2025,21-05-2025
Coca-Cola Tea 1L,65.7,144,81.86,105,15-05-2025,21-05-2025
Haldiram Biscuit 100g,202.82,188,258.64,187,15-05-2025,21-05-2025
Pepsi Chips 1L,160.57,322,198.28,195,15-05-2025,21-05-2025
Kellogg's Shampoo 5kg,295.82,293,386.54,266,15-05-2025,21-05-2025
Surf Excel Oil 100g,194.14,178,236.58,166,15-05-2025,21-05-2025
Haldiram Biscuit 500g,191.25,143,240.86,134,15-05-2025,21-05-2025
Britannia Atta 1L,131.58,371,171.08,241,15-05-2025,21-05-2025
Parle Tea 500g,262.3,308,326.6,263,15-05-2025,21-05-2025
Lay's Lentils 2kg,42.99,281,49.41,268,15-05-2025,21-05-2025
Coca-Cola Salt 750g,250.02,332,276.54,228,15-05-2025,21-05-2025
Britannia Ketchup 100g,195.29,362,229.07,317,15-05-2025,21-05-2025
Dove Coffee 5kg,67.15,305,76.28,211,15-05-2025,21-05-2025
Kellogg's Salt 200g,22.68,200,25.38,132,15-05-2025,21-05-2025
Coca-Cola Chips 2kg,24.87,375,30.98,334,15-05-2025,21-05-2025
Tata Tea 6x250ml,264.37,190,327.28,130,15-05-2025,21-05-2025
Tata Oil 2kg,48.12,308,54.12,203,15-05-2025,21-05-2025
Surf Excel Tea 200g,224.05,209,249.24,127,15-05-2025,21-05-2025
Colgate Sanitizer 5kg,221.24,276,252.8,240,15-05-2025,21-05-2025
Parle Noodles 200g,260.34,164,304.62,108,15-05-2025,21-05-2025
Kellogg's Toothpaste 200g,30.14,386,36.24,319,15-05-2025,21-05-2025
Dettol Toothpaste 250g,68.03,189,78.05,123,15-05-2025,21-05-2025
Dettol Sanitizer 6x250ml,87.99,332,98.72,315,15-05-2025,21-05-2025
Haldiram Rice 1L,48.54,365,55.41,236,15-05-2025,21-05-2025
Colgate Oil 500g,139.89,280,176.18,257,15-05-2025,21-05-2025
Aashirvaad Energy Drink 500g,61.11,128,73.63,104,15-05-2025,21-05-2025
Surf Excel Sanitizer 500g,212.96,248,239.02,212,15-05-2025,21-05-2025
Haldiram Sanitizer 1kg,83.97,301,98.56,226,15-05-2025,21-05-2025
Horlicks Soap 750g,248.53,186,282.65,150,15-05-2025,21-05-2025
Pepsi Ketchup 5kg,216.45,208,269.79,141,15-05-2025,21-05-2025
Colgate Chocolate 1kg,31.78,373,36.44,285,15-05-2025,21-05-2025
Parle Toothpaste 6x250ml,70.3,319,89.84,282,15-05-2025,21-05-2025
Cadbury Chocolate 750g,234.71,204,267.5,147,15-05-2025,21-05-2025
Haldiram Ketchup 500g,279.12,329,350.35,279,15-05-2025,21-05-2025
Nestlé Toothpaste 200g,269.82,188,299.25,135,15-05-2025,21-05-2025
Nescafé Chocolate 5kg,29.46,295,35.93,206,15-05-2025,21-05-2025
Amul Noodles 500g,35.58,273,40.45,195,15-05-2025,21-05-2025
Godrej Biscuit 2kg,197.31,298,217.13,215,15-05-2025,21-05-2025
Coca-Cola Noodles 200g,140.75,363,158.36,245,15-05-2025,21-05-2025
Maggi Rice 1L,287.59,301,314.46,276,15-05-2025,21-05-2025
Pepsi Detergent 5kg,186.98,212,212.34,185,15-05-2025,21-05-2025
Colgate Soap 2kg,139.65,250,179.74,196,15-05-2025,21-05-2025
Dove Rice 750g,162.58,264,198.06,185,15-05-2025,21-05-2025
Lay's Noodles 500g,275.04,399,307.47,381,15-05-2025,21-05-2025
Nescafé Atta 5kg,286.09,130,357.36,114,15-05-2025,21-05-2025
Kellogg's Sanitizer 2kg,84.39,398,106.7,309,15-05-2025,21-05-2025
Horlicks Ketchup 5kg,212.14,393,276.19,389,15-05-2025,21-05-2025
Cadbury Oil 100g,144.25,350,165.43,260,15-05-2025,21-05-2025
Kellogg's Sanitizer 750g,262.37,312,306.26,189,15-05-2025,21-05-2025
Aashirvaad Shampoo 1kg,140.17,120,157.27,72,15-05-2025,21-05-2025
Britannia Butter 2kg,143.83,247,179.03,173,15-05-2025,21-05-2025
Parle Chocolate 250g,170.04,216,207.1,146,15-05-2025,21-05-2025
Maggi Atta 500g,106.65,132,124.93,131,15-05-2025,21-05-2025
Coca-Cola Biscuit 5kg,291.42,298,329.69,200,15-05-2025,21-05-2025
Nescafé Coffee 1L,264.79,141,322.53,133,15-05-2025,21-05-2025
Tata Shampoo 100g,133.66,188,149.36,172,15-05-2025,21-05-2025
Haldiram Oil 500g,61.49,231,71.93,194,15-05-2025,21-05-2025
Maggi Atta 2kg,69.93,227,87.11,202,15-05-2025,21-05-2025
Godrej Sanitizer 500g,84.09,208,97.82,150,15-05-2025,21-05-2025
Pepsi Biscuit 1kg,293.64,245,367.23,185,15-05-2025,21-05-2025
Surf Excel Biscuit 1kg,38.91,187,46.87,151,15-05-2025,21-05-2025
Coca-Cola Oil 1kg,268.86,197,312.63,129,15-05-2025,21-05-2025
Horlicks Ketchup 500g,73.61,310,92.66,269,15-05-2025,21-05-2025
Horlicks Salt 250g,158.05,251,175.24,221,15-05-2025,21-05-2025
Maggi Corn Flakes 1kg,25.47,139,30.58,103,15-05-2025,21-05-2025
Kellogg's Oil 100g,265.1,143,311.62,125,15-05-2025,21-05-2025
Amul Chocolate 1L,104.92,293,136.6,200,15-05-2025,21-05-2025
Pepsi Shampoo 6x250ml,232.12,156,283.99,151,15-05-2025,21-05-2025
Nescafé Toothpaste 500g,223.8,203,290.04,184,15-05-2025,21-05-2025
Coca-Cola Soap 2kg,131.77,256,149.03,188,15-05-2025,21-05-2025
Surf Excel Oil 1L,29.55,260,36.67,202,15-05-2025,21-05-2025
Amul Lentils 200g,130.05,210,143.09,155,15-05-2025,21-05-2025
Haldiram Butter 5kg,104.86,174,125.62,120,15-05-2025,21-05-2025
Surf Excel Toothpaste 200g,197.19,238,220.74,192,15-05-2025,21-05-2025
Godrej Chocolate 250g,148.2,301,186.28,215,15-05-2025,21-05-2025
Surf Excel Butter 250g,201.92,321,234.57,256,15-05-2025,21-05-2025
Kellogg's Sanitizer 100g,196.8,138,238.02,89,15-05-2025,21-05-2025
Dettol Butter 500g,204.08,292,257.31,206,15-05-2025,21-05-2025
Colgate Shampoo 100g,58.66,232,73.02,151,15-05-2025,21-05-2025
Tata Sanitizer 1kg,96.81,297,122.82,234,15-05-2025,21-05-2025
Coca-Cola Butter 2kg,265.2,334,324.91,284,15-05-2025,21-05-2025
Surf Excel Biscuit 100g,111.5,135,146.04,112,15-05-2025,21-05-2025
Parle Atta 1kg,299.82,286,364.79,189,15-05-2025,21-05-2025
Godrej Ketchup 750g,53.76,282,68.8,214,15-05-2025,21-05-2025
Godrej Toothpaste 200g,94.74,224,124.43,181,15-05-2025,21-05-2025
Kellogg's Butter 6x250ml,264.07,221,346.26,216,15-05-2025,21-05-2025
Parle Chips 5kg,225.58,377,264.26,294,15-05-2025,21-05-2025
